latitude,longitude,sid,title,chart_title,type
37.8106,-122.502,c_1,"San Francisco Bay entrance (outside) (depth 19 ft), California Current",,current
48.1000,-122.6833,c_2,"0.3 mile northeast of, Marrowstone Point, Washington Current",,current
38.1188,-122.0533,c_3,"0.5 nmi east of entrance (depth 4 ft), Suisun Slough, Suisun Bay, California Current",,current
38.1378,-122.0813,c_4,"1 mi inside entrance (depth 15 ft), Suisun Slough, Suisun Bay, California Current",,current
38.1472,-122.0563,c_5,"1 mi inside west entrance (depth 22 ft), Montezuma Slough, Suisun Bay, California Current",,current
32.6828,-117.1428,c_6,"28th St. Pier (San Diego), 0.35 nmi SW (depth 14 ft), San Diego Bay, California Current",,current
32.6747,-117.1495,c_7,"28th St. Pier (San Diego), 0.92 nmi SW (depth 7 ft), San Diego Bay, California Current",,current
48.1500,-122.7,c_8,"Admiralty Head, 0.5 mile west of, Washington Current",,current
48.3967,-122.5867,t_1,"Ala Spit, Washington",,tide
48.3967,-122.587,t_2,"Ala Spit, Whidbey Island, Washington",,tide
37.5950,-122.145,t_3,"Alameda Creek, San Francisco Bay, California",,tide
37.7615,-122.2239,c_9,"Alameda Estuary, southeast end (depth 2 ft), San Francisco Bay, California Current",,current
37.7933,-122.315,t_4,"Alameda Naval Air Station fuel pier, San Francisco Bay, California",,tide
37.7333,-122.2666,c_10,"Alameda Radar Tower, .9 SSW of, South San Francisco Bay, California Current",,current
37.7455,-122.283,c_11,"Alameda Radar Tower, 0.9 nmi SSW of (depth 4 ft), San Francisco Bay, California Current",,current
37.7717,-122.3,t_5,"Alameda, San Francisco Bay, California",,tide
39.2167,-123.7666,t_6,"Albion, California",,tide
37.8267,-122.4167,c_12,"Alcatraz (North Point), San Francisco Bay, California Current",,current
37.8167,-122.4,c_13,"Alcatraz Island .8 mi E, San Francisco Bay, California Current",,current
37.8167,-122.4166,c_14,"Alcatraz Island S, San Francisco Bay, California Current",,current
37.8333,-122.4333,c_15,"Alcatraz Island W, San Francisco Bay, California Current",,current
37.8278,-122.4303,c_16,"Alcatraz Island, 0.2 mi west of, San Francisco Bay, California Current",,current
37.8351,-122.4201,c_17,"Alcatraz Island, 0.5 mi north of (depth 6 ft), San Francisco Bay, California Current",,current
37.8333,-122.4166,c_18,"Alcatraz Island, 5 mi N, San Francisco Bay, California Current",,current
37.8267,-122.417,t_7,"Alcatraz Island, San Francisco Bay, California",,tide
37.8183,-122.422,c_19,"Alcatraz Island, south of, San Francisco Bay, California Current",,current
37.8143,-122.432,c_20,"Alcatraz Island, southwest of (depth 2 ft), San Francisco Bay, California Current",,current
48.7578,-122.9803,c_21,"Alden Point, Patos Island, 2 mi S of, Rosario Strait, Washington Current",,current
48.4250,-122.853,t_8,"Aleck Bay, Lopez Island, Washington",,tide
48.4716,-122.6998,c_22,"Allan Pass (depth 11 ft), Rosario Strait, Washington Current",,current
48.5183,-122.62,t_9,"Anacortes, Guemes Channel, Washington",,tide
37.8600,-122.443,t_10,"Angel Island (west side), San Francisco Bay, California",,tide
37.8500,-122.4,c_23,"Angel Island .8 mi E, San Francisco Bay, California Current",,current
37.8633,-122.4017,c_24,"Angel Island, 0.75 mi east of, San Francisco Bay, California Current",,current
37.8633,-122.42,t_11,"Angel Island, East Garrison, San Francisco Bay, California",,tide
37.8633,-122.4133,c_25,"Angel Island, off Quarry Point, San Francisco Bay, California Current",,current
48.1770,-123.5269,c_26,"Angeles Pt., 2 mi NNE of (depth 12 ft), Strait of Juan de Fuca, Washington Current",,current
37.1083,-122.338,t_12,"Ano Nuevo Island, California",,tide
38.0239,-121.8226,c_27,"Antioch Point (depth 9 ft), San Joaquin River, California Current",,current
38.0333,-121.8167,c_28,"Antioch Point, 0.3 mi east of, San Joaquin River, California Current",,current
38.0333,-121.8166,c_29,"Antioch Pt .3 mi E, San Joaquin River, California Current",,current
38.0270,-121.7531,c_30,"Antioch, Route 160 bridge (depth 7 ft), San Joaquin River, California Current",,current
38.0200,-121.815,t_13,"Antioch, San Joaquin River, California",,tide
40.8500,-124.117,t_14,"Arcata Wharf, Humboldt Bay, California",,tide
38.9146,-123.7111,t_15,"Arena Cove, California",,tide
48.5350,-122.797,t_16,"Armitage Island, Thatcher Pass, Washington",,tide
38.0388,-122.1337,c_31,"Army Pt. Pier Lt. 0.2 nmi SE of (depth 21 ft), Carquinez Strait, California Current",,current
46.1867,-123.86,t_17,"Astoria (Port Docks), Oregon",,tide
46.1717,-123.8416,t_18,"Astoria (Youngs Bay), Columbia River, Oregon",,tide
46.1717,-123.842,t_19,"Astoria (Youngs Bay), Oregon",,tide
33.3450,-118.325,t_20,"Avalon, Santa Catalina Island, California",,tide
